"VISAE06","id","eventname","component","ACTION","target","objecttable","objectid","crud","edulevel","contextid","contextlevel","contextinstanceid","userid","courseid","relateduserid","anonymous","timecreated","origin","ip","realuserid"
"ECACEN21","4802727","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539465162","web","181.135.96.79","\N"
"ECACEN21","4802736","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1539465170","web","181.135.96.79","\N"
"ECACEN21","4802741","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539465175","web","181.135.96.79","\N"
"ECACEN21","4802982","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","62","r","2","639","70","377","512812","119","\N","0","1539465375","web","181.135.96.79","\N"
"ECACEN21","4802997","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","9304","r","2","639","70","377","512812","119","\N","0","1539465385","web","181.135.96.79","\N"
"ECACEN21","4803191","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","63","r","2","640","70","378","512812","119","\N","0","1539465536","web","181.135.96.79","\N"
"ECACEN21","4803198","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","1521","r","2","640","70","378","512812","119","\N","0","1539465540","web","181.135.96.79","\N"
"ECACEN21","4803274","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","1521","r","2","640","70","378","512812","119","\N","0","1539465606","web","181.135.96.79","\N"
"ECACEN21","4803286","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","1522","r","2","640","70","378","512812","119","\N","0","1539465616","web","181.135.96.79","\N"
"ECACEN21","4803309","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","1524","r","2","640","70","378","512812","119","\N","0","1539465636","web","181.135.96.79","\N"
"ECACEN21","4803324","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","62","r","2","639","70","377","512812","119","\N","0","1539465653","web","181.135.96.79","\N"
"ECACEN21","4803328","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","9304","r","2","639","70","377","512812","119","\N","0","1539465659","web","181.135.96.79","\N"
"ECACEN21","4803346","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1539465681","web","181.135.96.79","\N"
"ECACEN21","4803349","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539465683","web","181.135.96.79","\N"
"ECACEN21","4857678","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539554879","web","181.135.96.79","\N"
"ECACEN21","4857680","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539554880","web","181.135.96.79","\N"
"ECACEN21","4857688","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1539554888","web","181.135.96.79","\N"
"ECACEN21","4868256","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539565871","web","181.135.96.79","\N"
"ECACEN21","4868257","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539565872","web","181.135.96.79","\N"
"ECACEN21","4868689","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539566194","web","181.135.96.79","\N"
"ECACEN21","4868691","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539566195","web","181.135.96.79","\N"
"ECACEN21","4915895","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539637566","web","181.135.96.79","\N"
"ECACEN21","4915897","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539637568","web","181.135.96.79","\N"
"ECACEN21","4915910","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1539637578","web","181.135.96.79","\N"
"ECACEN21","4915916","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539637581","web","181.135.96.79","\N"
"ECACEN21","4916896","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539638413","web","181.135.96.79","\N"
"ECACEN21","4923915","\\mod_forum\\event\\assessable_uploaded","mod_forum","uploaded","assessable","forum_posts","194777","c","2","658","70","396","512812","119","\N","0","1539643544","web","181.135.96.79","\N"
"ECACEN21","4923916","\\mod_forum\\event\\post_created","mod_forum","created","post","forum_posts","194777","c","2","658","70","396","512812","119","\N","0","1539643544","web","181.135.96.79","\N"
"ECACEN21","4923921","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539643548","web","181.135.96.79","\N"
"ECACEN21","4924032","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539643623","web","181.135.96.79","\N"
"ECACEN21","4924033","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539643624","web","181.135.96.79","\N"
"ECACEN21","4924110","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1539643684","web","181.135.96.79","\N"
"ECACEN21","4924113","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539643686","web","181.135.96.79","\N"
"ECACEN21","4934663","\\mod_forum\\event\\assessable_uploaded","mod_forum","uploaded","assessable","forum_posts","195260","c","2","658","70","396","512812","119","\N","0","1539650482","web","181.135.96.79","\N"
"ECACEN21","4934664","\\mod_forum\\event\\post_created","mod_forum","created","post","forum_posts","195260","c","2","658","70","396","512812","119","\N","0","1539650482","web","181.135.96.79","\N"
"ECACEN21","4934676","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539650486","web","181.135.96.79","\N"
"ECACEN21","4934677","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539650486","web","181.135.96.79","\N"
"ECACEN21","4934741","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539650526","web","181.135.96.79","\N"
"ECACEN21","4934746","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539650527","web","181.135.96.79","\N"
